Index Number,Volume,Title,Notes,,,,,,
00001,Vol. 1,"Alameda County Courthouse, 1868",,,,,,,
00002,Vol. 1,"Bank of San Leandro, ca 1890",,,,,,,
00003,Vol. 1,"Robert's Residence, 1876",,,,,,,
00004,Vol. 1,"Peralta Home, 1860",,,,,,,
00005,Vol. 1,Mendonca's Farm Wagon Mendonca,,,,,,,
00006,Vol. 1,Harvesting at Mendonca's Farm,,,,,,,
00007,Vol. 1,Sheep Herd at Mendonca's Farm in Mulford Gardens,,,,,,,
00008,Vol. 1,At Mendonca's Farm in Mulford Gardens,,,,,,,
00009,Vol. 1,"Planting at Mendonca's Farm, 1928",,,,,,,
00010,Vol. 1,San Leandro Marina Irrigation Ditch,,,,,,,
00011,Vol. 1,San Leandro Plow Works,,,,,,,
00012,Vol. 1,"Farm Hands at Mulford Farm, ca 1930",,,,,,,
00013,Vol. 1,"Hauling Hay at Mulford Farm, ca 1920",,,,,,,
00014,Vol. 1,"Mulford Farm Harvest, 1937",,,,,,,
00015,Vol. 1,St. Leander's Church,,,,,,,
00016,Vol. 1,"Mulford Farm, 1937",,,,,,,
00017,Vol. 1,Henry F. Eber and George Borman,,,,,,,
00018,Vol. 1,Thierry's Residence,,,,,,,
00019,Vol. 1,Barbecue at Sen. Landis,,,,,,,
00020,Vol. 1,"Mulford Farm, Water Wagon, ca 1890",,,,,,,
00021,Vol. 1,"St. Leander's YMI, 1946",,,,,,,
00022,Vol. 1,"Lake Chabot, 1915",,,,,,,
00023,Vol. 1,"Only Slate House in California, 1915",,,,,,,
00024,Vol. 1,"San Leandro Brass Band, ca 1890",,,,,,,
00025,Vol. 1,"San Leandro Plaza (Aerial View), ca 1950",,,,,,,
00026,Vol. 1,"San Leandro High School (Aerial View), 1950",,,,,,,
00027,Vol. 1,"Pelton Center (Aerial View), 1960",,,,,,,
00028,Vol. 1,"St. Leander's YMI, 1/14/1949",,,,,,,
00029,Vol. 1,"San Leandro Boys Club Band, 1916",,,,,,,
00030,Vol. 1,"Columbia Gardens, Saloon, 1890",,,,,,,
00031,Vol. 1,"Haywards Hotel, ca 1916",,,,,,,
00032,Vol. 1,"E. 14th St. at 141st Ave., 1943-45",,,,,,,
00033,Vol. 1,"Eber Meat Market, ca 1875",,,,,,,
00034,Vol. 1,"Alameda Hospital, ca 1890",,,,,,,
00035,Vol. 1,"Mulford Farm Harvest, ca 1900",,,,,,,
00036,Vol. 1,"Old Corner, Gorman's Liquors, Gorman's Harness-Making, Reid's Reid's Carriage Trimming, 1875",,,,,,,
00037,Vol. 1,"Intercoastal Paint, ca 1890",,,,,,,
00038,Vol. 1,"Washington Market, Soebeler Watchmaker, and Beer Parlor, ca 1890",,,,,,,
00039,Vol. 1,"Mulford Residence, ca 1890",,,,,,,
00040,Vol. 1,"Union School, 1890",,,,,,,
00041,Vol. 2,"Thierry's Saloon, 1890",,,,,,,
00042,Vol. 2,"Reunion W.W.II  S. L. Residents, Apr. 1946",,,,,,,
00043,Vol. 2,"Union School Class, 1890",,,,,,,
00044,Vol. 2,"Early S. L. Group, ca 1910",,,,,,,
00045,Vol. 2,"Pile Driving, Mulford Gard., ca 1910",,,,,,,
00046,Vol. 2,"Early Airplane, ca 1927",,,,,,,
00047,Vol. 2,"San Leandro Brass Band, ca 1920",,,,,,,
00048,Vol. 2,"Union School Class, ca 1900",,,,,,,
00049,Vol. 2,"Blacksmith Shop at Ashland, ca 1890",,,,,,,
00050,Vol. 2,"Henry Borman's Grocery, 1900",,,,,,,
00051,Vol. 2,"Sam's Sweet Shop, ca 1929",,,,,,,
00052,Vol. 2,"Early Residence, ca 1890",,,,,,,
00053,Vol. 2,"Eagle Candy Kitchen, Vlahos, 1929",,,,,,,
00054,Vol. 2,"George Pyle's Barber Shop, 1920",,,,,,,
00055,Vol. 2,"Cherry Festival, ca 1915",,,,,,,
00056,Vol. 2,"Union School, ca 1890",,,,,,,
00057,Vol. 2,"Eber's Meat Market, ca 1908-12",,,,,,,
00058,Vol. 2,Union School,,,,,,,
00059,Vol. 2,"Geisenhofer's Bakery and Coffee Salon, ca 1876-1886",,,,,,,
00060,Vol. 2,"Santos and Robinson Mortuary, ca 1920",,,,,,,
00061,Vol. 2,"Ury Butcher Shop, ca 1890",,,,,,,
00062,Vol. 2,"Herrscher Cheap Cash Store, ca 1900",,,,,,,
00063,Vol. 2,Business Card of Mr. Schmidt,,,,,,,
