resource_name,asset_name,file_size,title,subject,description,contributor,period_date,digital_format,url_for_file,geo_coord_UTM,verified_gps_coords,resource_number,year,geo_coord_original,paper_page_number,Index Number,Volume,Title,Notes,description2,address
00000001.pdf,"Alameda County Courthouse in San Leandro, ca 1856",371.97 KB,"Alameda County Courthouse in San Leandro, ca 1856",| Alameda County (Calif.) | Courthouses -- United States -- California -- San Leandro | Public buildings -- California -- San Leandro | Public building |,"Alameda County Courthouse. San Leandro was the Alameda County seat from 1855 until 1873. The courthouse building was constructed in 1856, and this photograph was probably taken right after its construction. The building was destroyed in the 1868 Hayward Fault earthquake. The courthouse was located on the southwest corner of Davis and Clarke Streets. 8x10 bw print; copy neg.","Shaffer, Harry",ca. 1856,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5138/0,,,,1873,,,00001,Vol. 1,"Alameda County Courthouse, 1868",,"Alameda County Courthouse, 1868",
00000002.pdf,"Bank of San Leandro, ca 1893",365.50 KB,"Bank of San Leandro, ca 1893",| Bank of San Leandro | Banks -- San Leandro | Commercial buildings |,Bank of San Leandro building. The Bank of San Leandro was organized in 1893. 8x10 bw print; copy neg.,"Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5139/0,,,2,1890,10D724,13,00002,Vol. 1,"Bank of San Leandro, ca 1890",,"Bank of San Leandro, ca 1890",
00000003.pdf,"Robert's Residence, 1876",534.66 KB,"Robert's Residence, 1876","| Roberts, William | Roberts Landing | Official and Historical Atlas Map of Alameda County, California by Thompson & West |","Photograph of a book illustration. Photograph of a pen-and-ink illustration from the Offical and Historical Atlas Map of Alameda County by Thompson & West, 1876, showing Capt. Roberts's residence and Roberts Landing. 8x210 bw print; copy neg.","Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5140/0,,,,1876,,,00003,Vol. 1,"Robert's Residence, 1876",,,
00000004.pdf,"Peralta Home, 1860",784.99 KB,"Peralta Home, 1860","| Peralta , Ygnacio | Toler, William P. | Alta Mira Club -- California -- San Leandro | Historic Landmarks - California - San Leandro | Lafayette Street | HouseBarnPeople |","Peralta home with people in front and outbuildings visible in back. Home of Ygnacio Peralta, built by son-in-law William P. Toler in 1860. The man on the porch is believed to be Ygnacio Peralta, and the woman may be his wife Rafaele. The home at 561 Lafayette Street is now the Alta Mira Club House and Historical Landmark #285. 8x10 bw print; 4x5 copy neg.","Galvan, Andy",ca. 1860,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5141/0,,,4,1860,19D521,16,00004,Vol. 1,"Peralta Home, 1860",,,
00000005.pdf,"Mendonca Farm Water Wagon, 1897",415.42 KB,"Mendonca Farm Water Wagon, 1897","| Mendonca, Joseph Bernardo | Farms -- California -- San Leandro | Carts & wagons -- California -- San Leandro |",Manual Sequira driving horse-drawn water wagon in the Mulford Gardens area at Mendonca farm. Photograph taken 1897. 8x10 bw print; 4x5 copy neg.,"Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5142/0,,,,1897,,,00005,Vol. 1,Mendonca's Farm Wagon Mendonca,,Mendonca's Farm Wagon Mendonca,
00000006.pdf,Harvesting at Mendonca's Farm,434.08 KB,Harvesting at Mendonca's Farm,"| Mendonca, Joseph Bernardo | Harvesting -- United States -- California -- San Leandro | Barley -- United States -- California -- San Leandro | Farms -- United States -- California -- San Leandro | Acricultural machinery & implements -- United States -- California -- San Leandro |","Threshing barley on Mendonca farm. (Left to right): Joseph Santos, Manual Gularte, George Mendonca Sr., Mike Gularte, and Arthur Mendonca. 8x10 bw print; 4x5 copy neg.","Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5143/0,,,,,,,00006,Vol. 1,Harvesting at Mendonca's Farm,,,
00000007.pdf,Sheep at Mendonca's Farm in Mulford Gardens,205.61 KB,Sheep at Mendonca's Farm in Mulford Gardens,"| Farms -- California -- San Leandro | Mendonca, Joseph Bernardo | Mulford Gardens -- California -- San Leandro | Sheep -- California -- San Leandro | Barns -- California -- San Leandro |",Sheep on J. B. Mendonca's farm in Mulford Gardens. 8x10 bw print; 4x5 copy neg.,"Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5144/0,,,,,,,00007,Vol. 1,Sheep Herd at Mendonca's Farm in Mulford Gardens,,Sheep Herd at Mendonca's Farm in Mulford Gardens,
00000008.pdf,Mendonca family on farm in Mulford Gardens,391.27 KB,Mendonca family on farm in Mulford Gardens,"| Mendonca, Joseph Bernardo | Farms -- California -- San Leandro | Mulford Gardens -- California -- San Leandro | Mendonca, Sarah | Mendonca, George B. | Mendonca, Arthur | Mendonca, Iria | Carriages & coaches -- California -- San Leandro |","Mendonca family on farm. (Left to right): Sarah Mendonca, George B. Mendonca, Arthur Mendonca, (unknown) and Iria Mendonca. 8x10 bw print; 4x5 copy neg.","Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5145/0,,,,,,,00008,Vol. 1,At Mendonca's Farm in Mulford Gardens,,At Mendonca's Farm in Mulford Gardens,
00000009.pdf,"Planting at Mendonca's Farm, 1928",435.96 KB,"Planting at Mendonca's Farm, 1928","| Mendonca, Joseph Bernardo | Farms -- California -- San Leandro | Mulford Gardens -- California -- San Leandro | Agricultural machinery & implements -- California -- San Leandro | Tomatoes | Agricultural machinery; Tractor; Men |","Planting tomatoes at Mendonca Farm in Mulford Gardens. (Left to right): Ralph Santos, Mike Gularte, George B. Mendonca. 8x10 bw print; 4x5 copy neg.","Galvan, Andy",1928,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5146/0,,,,1928,,,00009,Vol. 1,"Planting at Mendonca's Farm, 1928",,,
00000010.pdf,San Leandro Marina Irrigation Ditch,419.70 KB,San Leandro Marina Irrigation Ditch,| San Leandro Marina | Irrigation | Farms -- United States -- California -- San Leandro |,"Men and teams of horses and donkeys in the irrigation channel draining Mulford Flats into the Bay. (Left to right): John Fosha, Arthur Mendonca, Manual Serpa and Antone Souza. Last two men on far right are unknown. 8x10 bw print; 4x5 copy neg.","Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5147/0,,,,,,,00010,Vol. 1,San Leandro Marina Irrigation Ditch,,,
00000011.pdf,San Leandro Plow Works 1883 or 1884,465.69 KB,San Leandro Plow Works 1883 or 1884,| San Leandro Plow Works | Davis Street -- California -- San Leandro | Martinez Street -- California -- San Leandro | Industry -- California -- San Leandro | Agricultural machinery & implements | BuildingMen |,"San Leandro Plow Works with men in front. San Leandro Plow Company on Davis Street at Martinez Street. (Left to right): Joe Focha, (unknown), Bob Wrenn, Al During, Joe August (?), George Allen (?), George Davis, George Dica (with white beard), Joe Olimpia, George Herim, Charley Crompton, Jim Quinn, Bill Murray, Sam Dasha (behind Murray), Manuel Foster, Tony August (?) and Jim Dunn (displaying their fisticuffs), Joe Halford (?), Henry Brown, Tom Morgan (?), Joe Freitas (?), Charley Rowland, Nole Holland, Charley Halford, Pete Hanson, (unknown) and Dr. Rasson.","Galvan, Andy",ca. 1883,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5148/0,,,,1884,,,00011,Vol. 1,San Leandro Plow Works,,,
00000012.pdf,"Farm Hands at Mulford Farm, ca .1930",349.14 KB,"Farm Hands at Mulford Farm, ca .1930",| Farms -- California -- San Leandro | Mendonca Farm -- California -- San Leandro |,"Twelve men posed in front of farm buildings. Farm hands from the Mendonca Ranch in the Mulford Gardens. (Left to right): August Sebastin, George B. Mendonca, John Gonsalves, (unknown), John Quelho, (unknown), (unknown), Joe Santos, (unknown), (unknown), (unknown), (unknown) and Manual Gularte. 8x10 bw print; copy neg.","Galvan, Andy",ca. 1930,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5149/0,,,,1930,,,00012,Vol. 1,"Farm Hands at Mulford Farm, ca 1930",,"Farm Hands at Mulford Farm, ca 1930",
00000013.pdf,"Hauling Hay at Mulford Farm, ca 1920",445.06 KB,"Hauling Hay at Mulford Farm, ca 1920","| Trucks | Farms -- California -- San Leandro | Hay | Mendonca, Joseph Bernardo |",Three trucks loaded with hay bales on an unidentified road; Walnut trees in background. 8x10 bw print; copy neg.,"Galvan, Andy",ca 1920,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5150/0,,,,1920,,,00013,Vol. 1,"Hauling Hay at Mulford Farm, ca 1920",,,
00000014.pdf,"Mulford Farm Harvest, 1937",359.35 KB,"Mulford Farm Harvest, 1937","| Farms -- California -- San Leandro | Ford Model T truck | Case threshing machine | Mendonca Farm | Rodrigues, Manuel | Mendonca, George B. | Mendonca Jr., George | Gularte, Manuel | Santos, Ralph | Mendonca, Arthur | Wheat | Wheat -- Threshing |","Threshing wheat on the Mulford Farm. Model T and Case Threshing Machine being used to thresh wheat at the Mendonca Ranch. (Left to Right): Manuel Rodrigues, George B. Mendonca, George Mendonca Jr., Menuel Gularte, Ralph Santos, Arthur Mendonca.",Andy Galvan,1937,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5151/0,,,,1937,,,00014,Vol. 1,"Mulford Farm Harvest, 1937",,,
00000015.pdf,Old St. Leander's Catholic Church,344.34 KB,Old St. Leander's Catholic Church,| St. Leander's Church | Catholic Church -- California -- San Leandro |,A dedication or celebration outside Old St. Leander's Catholic Church. A crowd of people outside old St. Leander's. There is a tower of scaffolding with vases of flowers at its base.,"Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5152/0,,,,,,,00015,Vol. 1,St. Leander's Church,,St. Leander's Church,
00000016.pdf,"Mulford Farm, 1937",444.21 KB,"Mulford Farm, 1937","| Farms -- California -- San Leandro | Mendonca, George B. | Bull Tractor | Plowing | Shore Acres Dairy Ranch (Mulford Farm) |",A man in a three-wheeled tractor plows a field. George B. Mendonca plowing field with gasoline 3-wheeled tractor (Bull tractor).,"Galvan, Andy",1937,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5153/0,,,,1937,,,00016,Vol. 1,"Mulford Farm, 1937",,,
