resource_name,asset_name,file_size,title,subject,description,contributor,period_date,digital_format,url_for_file,geo_coord_UTM,verified_gps_coords,resource_number,year,geo_coord_original,paper_page_number,source_index,Index Number,Volume,Title,Notes,description2,address
00000379.pdf,"Beach Outing, 1920",380.56 KB,"Beach Outing, 1920","| Beach | Portraits, Group | Other Recreation and Sports |","Beach Outing, 1920.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5513/0,"[-122.1888585566443, 37.7182416005155]",,379,1920,B73212,22,S,00379,Vol. 10,"Beach Outing, 1920",,,
00000397.pdf,"Beach, Foot of Davis St. ca 1920",341.35 KB,"Beach, Foot of Davis St. ca 1920","| Beaches | Portraits, Women | Portraits, Group | Street, Davis |","Beach, Foot of Davis St. ca 1920.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5531/0,"[-122.18967583666294, 37.71810909667556]","[-122.19608, 37.71362]",397,1920,B73212,22,S,00397,Vol. 10,"Beach, Foot of Davis St. ca 1920",,,
00001377.pdf,"Group at Beach, Foot of Davis Street, 1910",301.22 KB,"Group at Beach, Foot of Davis Street, 1910",,"Harris Jones, Alzina Dumont, Godfrey Retallick, Mildred Hawes, Harriet Hawes, Edith Jones, (Top) Dumont or Nelson, Ronald McCoy, Catherine McCoy, Fred Jones, (Bottom) Martin Nelson, Myrtie Rideout, Andy Nelson, Friend of Alzina, Marcus Nelson.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6505/0,"[-122.18782315601159, 37.71762733713882]",,1377,1910,B73212,22,S,01377,Vol. 35,"Group at Beach, 1910",,"Group at Beach, 1910",
00001385.pdf,"Group at Beach, 1910",296.16 KB,"Group at Beach, 1910",,"(back row) Fred Jones, Ronald McCoy, Bert Pease, friend of Bert, Andy Nelson, unknown, Marvin Bradly, Paul McCoy, unknown, (middle row) Alzina Dumont, Hazel Nelson, Myrtie Rideout, Mrs. Rideout, (front row) Godfrey Retallick, Raymond Jones, Catherine McCoy, Joe Hearst, Irma Rideout, unknown.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6513/0,"[-122.18889223505757, 37.71775288807717]",,1385,1902,B73212,22,S,01385,Vol. 35,"Group at Beach, 1910",,,
00001386.pdf,"Group at Beach, 1910",270.82 KB,"Group at Beach, 1910",,"Mildred Hawes, Martin Nelson, Nelson Dumont, Ronald McCoy, Andy Nelson, Fred Jones, Dumont, (Front) Godfrey Retallick, Harriet Hawes, Myrtie Rideout, Harris Jones, Alzina's friend, Alzina Dumont.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6514/0,"[-122.18786828919836, 37.7172909749346]",,1386,1910,B73212,22,S,01386,Vol. 35,"Group at Beach, 1910",,,
00000387.pdf,Don Sherwood,273.37 KB,Don Sherwood,"| Sherwood, Don | KSFO | Public Events | San Leandro Marina | Monty Bandar | Ships and Boats | Radio Broadcast |","S.L. Marina. Radio broadcast from ""Monty Bandar"".",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5521/0,"[-122.18804389444256, 37.70190579912087]",,387,1965,B74518,7,S,00387,Vol. 10,"Don Sherwood (KSFO) Broadcast, 1965",,"Don Sherwood (KSFO) Broadcast, 1965",
00000388.pdf,Don Sherwood,281.45 KB,Don Sherwood,"| Sherwood, Don | KSFO | Radio Broadcast | San Leandro Marina | Smith, Carter B. | Maltester, Jack | Public Events |",S.L. Marina. Don Sherwood Carter B. Smith and Mayor Jack Maltester.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5522/0,"[-122.18861481317403, 37.70220374919883]",,388,1965,B74518,7,S,00388,Vol. 10,"Don Sherwood (KSFO) Broadcast, 1965",,"Don Sherwood (KSFO) Broadcast, 1965",
00000389.pdf,"S. L. Fire Dept. Equipment, 1965",263.21 KB,"S. L. Fire Dept. Equipment, 1965","| San Leandro Marina | Department, Fire | Fire Protection | Portraits, Group | Rooney, Everett | McClure, Mrs. Wesley |","S.L. Marina. Everett Rooney, unknown, Mrs. Wesley McClure, unknown.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5523/0,"[-122.18824189329854, 37.70179962996159]",,389,1965,B74518,7,S,00389,Vol. 10,"S. L. Fire Dept. Equipment, 1965",,,
00000249.pdf,"Oyster Beds, Mulford's Landing?",404.13 KB,"Oyster Beds, Mulford's Landing?",| Wharves and Harbors | Muflord's Landing | Oyster Beds | Ships and Boats |,"Oyster Beds, Mulford's Landing?",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5383/0,"[-122.18900728038544, 37.69974505455573]","[-122.18977, 37.70097]",249,,B74618,77,D,00249,Vol. 7,"Oyster Beds, Mulford's Landing?",,,
00000385.pdf,"Historical Landmark Committee Meeting, 1966",265.58 KB,"Historical Landmark Committee Meeting, 1966","| Historical Landmark Committee | Mulford Point | Gillock, Albert F. | Suerstedt, William F. | Neavill, Jack | Mrs. Lord |","Taken at Mulford Point. Albert F. Gillock, William F. Suerstedt, unknown. Jack Neavill, Mrs. Lord.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5519/0,"[-122.18859727206112, 37.700334613123225]",,385,1966,B74618,7,S,00385,Vol. 10,"Historical Landmark Committee Meeting, 1966",,,
