resource_number,year,geo_coord_original,paper_page_number,source_index
884,1902,10D824,1,S
1735,1914,10D824,1,S
1491,1889,12D425,1,S
1403,1902,11D825,1,S
1315,1890,15D625,1,S
471,1970,10D723,1,S
1050,1878,00D520,2,S
470,1970,10D723,2,S
471,1970,10D723,2,S
1469,1890,12C141,3,S
437,1917,10D825,3,S
263,1905,12D625,3,S
1356,1900,10D825,4,S
1317,1874,00D625,4,S
613,1920,21D628,4,S
1403,1902,11D825,4,S
1224,1960,10D824,4,S
1050,1878,00D520,4,S
1080,1860,19D520,4,S
911,1939,13D527,5,S
1242,1939,13D625,5,S
2087,1909,13D725,5,S
1457,1972,13D721,5,S
1450,1972,13D721,5,S
1451,1972,13D721,5,S
1445,1972,13D726,5,S
1453,1972,13D721,5,S
1444,1972,13D726,5,S
1454,1972,13D721,5,S
1443,1972,13D726,5,S
1446,1972,13D726,5,S
1506,1911,13D726,5,S
1447,1972,13D726,5,S
1452,1972,13D721,5,S
1456,1972,13D721,5,S
1466,1940,13D726,5,S
1467,1940,13D726,5,S
912,1939,13D527,5,S
915,1940,13D627,5,S
1082,1860,13D527,5,S
1651,1938,23D626,5,S
1652,1938,10D723,6,S
1080,1860,19D520,6,S
1652,1938,10D723,6,S
914,1940,10D824,6,S
1462,1972,10D723,6,S
1082,1860,13D527,6,S
404,1950,00E923,6,S
22,1915,16E920,6,S
557,1932,16F120,6,S
417,1915,99F121,6,S
240,1920,18B942,7,S
211,1950,18B945,7,S
718,1900,18C637,7,S
385,1966,18B746,7,S
469,1890,18E646,7,S
706,1890,18C637,7,S
448,1890,28D723,7,S
212,1959,18B945,7,S
386,1966,18B746,7,S
387,1965,18B745,7,S
389,1965,18B745,7,S
240,1920,18B942,7,S
716,1900,28D723,7,S
569,1914,28D922,7,S
388,1965,18B745,7,S
514,1900,10D824,7,S
746,1966,11D824,7,S
595,1966,11D825,7,S
598,1966,21D727,7,S
596,1962,12D524,7,S
720,1940,10D824,7,S
291,1948,20E323,7,S
738,1916,10D723,7,S
2121,1910,10D723,7,S
1900,1910,10D418,7,S
1901,1910,10D418,7,S
213,1965,10D723,9,S
