photo_identifier,title
00000001,"Alameda County Courthouse in San Leandro, ca 1856"
00000002,"Bank of San Leandro, ca 1893"
00000004,"Peralta Home, 1860"
00000005,"Mendonca Farm Water Wagon, 1897"
00000006,Harvesting at Mendonca's Farm
00000007,Sheep at Mendonca's Farm in Mulford Gardens
00000008,Mendonca family on farm in Mulford Gardens
00000009,"Planting at Mendonca's Farm, 1928"
00000010,San Leandro Marina Irrigation Ditch
00000011,San Leandro Plow Works 1883 or 1884
00000012,"Farm Hands at Mulford Farm, ca .1930"
00000013,"Hauling Hay at Mulford Farm, ca 1920"
00000014,"Mulford Farm Harvest, 1937"
00000015,Old St. Leander's Catholic Church
00000016,"Mulford Farm, 1937"
00000017,"Henry F. Eber and George Borman shooting ""craps"" at Lake Chabot"
00000018,"Thierry's Residence, 1900"
00000019,Barbecue at Sen. Landis
00000020,"Mulford Farm, Water Wagon, ca 1890"
00000021,"St. Leander's YMI No. 49 Parade, July 21, 1946"
00000022,"Lake Chabot, 1915"
00000025,San Leandro Plaza
00000026,San Leandro High School
00000027,Pelton Center
00000029,"San Leandro Boys Club Band, 1916"
00000030,"Columbia Gardens, Saloon, 1890"
00000032,"E. 14th St. at 141st Ave., 1943-45"
00000033,"Eber Meat Market, ca 1875"
00000034,"Alameda Hospital, ca 1890"
00000035,"Mulford Farm Harvest, ca 1900"
00000036,"Old Corner, Gorman's Liquors, Gorman's Harness-Making, Reid's Carriage Trimming, 1875"
00000038,"Washington Market, Soebeler Watchmaker, and Beer Parlor, ca 1890"
00000039,"Mulford Residence, ca 1890"
00000040,"Union School, 1890"
00000041,"Thierry's Saloon, 1890"
00000043,"Union School Class, 1890"
00000045,"Pile Driving, Mulford Gard., ca 1910"
00000048,"Union School Class, ca 1900"
00000050,"Henry Borman's Grocery, 1900"
00000052,"Early Residence, ca 1890"
00000053,"Eagle Candy Kitchen, Vlahos, 1929"
00000056,"Union School, ca 1890"
00000057,"Eber's Meat Market, ca 1908-12"
00000058,Union School
00000059,"Geisenhofer's Bakery and Coffee Salon, ca 1876-1886"
00000060,"Santos and Robinson Mortuary, ca 1920"
00000061,"Ury Butcher Shop, ca 1890"
00000062,"Herrscher Cheap Cash Store, ca 1900"
00000063,Business Card of Mr. Schmidt
00000064,"Lincoln School Class Photo, 1911"
00000065,"Early Autos, 1915"
00000066,"Union School Class, ca 1909"
00000067,"Phillip's Dairy, ca 1915"
00000068,"Phillip's Dairy, ca 1915"
00000069,"Union School, ca 1910"
00000070,"San Leandro Ball Club, ca 1909"
00000071,Union School
00000072,"an Leandro Fire Department 1920 Seagrave Pumper, Taken 1931"
00000073,"Columbia Gardens Saloon, ca 1890"
00000074,"San Leandro Firemen, 1931"
